"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174","test post api","","Tue Feb 17 15:49:47 UTC 2026","failed","Tue Feb 17 15:49:47 UTC 2026","","Demo API","test post api",""
"","2150","Radio ""Yes"" Button","","Tue Feb 17 15:49:47 UTC 2026","broken","Tue Feb 17 15:49:49 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","319","search ""fsoft"" in google","","Tue Feb 17 15:49:52 UTC 2026","broken","Tue Feb 17 15:49:52 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","320","search facebook in google","","Tue Feb 17 15:49:50 UTC 2026","broken","Tue Feb 17 15:49:50 UTC 2026","","test google search","search facebook in google",""
"","319","search ""fsoft"" in google","","Tue Feb 17 15:49:51 UTC 2026","broken","Tue Feb 17 15:49:51 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","1872","test get api","","Tue Feb 17 15:49:45 UTC 2026","passed","Tue Feb 17 15:49:47 UTC 2026","","Demo API","test get api",""
"","324","search ""CMC"" in google","","Tue Feb 17 15:49:50 UTC 2026","broken","Tue Feb 17 15:49:51 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","326","search youtube in google","","Tue Feb 17 15:49:50 UTC 2026","broken","Tue Feb 17 15:49:50 UTC 2026","","test google search","search youtube in google",""
"","319","search ""review cong ty"" in google","","Tue Feb 17 15:49:51 UTC 2026","broken","Tue Feb 17 15:49:51 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","317","search ""review cong ty"" in google","","Tue Feb 17 15:49:52 UTC 2026","broken","Tue Feb 17 15:49:52 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","367","search ""CMC"" in google","","Tue Feb 17 15:49:51 UTC 2026","broken","Tue Feb 17 15:49:52 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","407","Radio ""Impressive"" Button","","Tue Feb 17 15:49:49 UTC 2026","broken","Tue Feb 17 15:49:50 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
