"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 05 15:12:45 GMT 2023","Tue Dec 05 15:12:47 GMT 2023","1772","","Demo API","","test get api","","test get api",""
"broken","Tue Dec 05 15:12:51 GMT 2023","Tue Dec 05 15:12:51 GMT 2023","266","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Dec 05 15:12:47 GMT 2023","Tue Dec 05 15:12:49 GMT 2023","1854","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Tue Dec 05 15:12:50 GMT 2023","Tue Dec 05 15:12:50 GMT 2023","267","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Dec 05 15:12:51 GMT 2023","Tue Dec 05 15:12:52 GMT 2023","265","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Dec 05 15:12:50 GMT 2023","Tue Dec 05 15:12:50 GMT 2023","221","","test google search","","search youtube in google","","search youtube in google",""
"broken","Tue Dec 05 15:12:50 GMT 2023","Tue Dec 05 15:12:51 GMT 2023","268","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Dec 05 15:12:50 GMT 2023","Tue Dec 05 15:12:50 GMT 2023","269","","test google search","","search facebook in google","","search facebook in google",""
"broken","Tue Dec 05 15:12:51 GMT 2023","Tue Dec 05 15:12:51 GMT 2023","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Dec 05 15:12:49 GMT 2023","Tue Dec 05 15:12:49 GMT 2023","344","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"passed","Tue Dec 05 15:12:47 GMT 2023","Tue Dec 05 15:12:47 GMT 2023","308","","Demo API","","test post api","","test post api",""
"broken","Tue Dec 05 15:12:51 GMT 2023","Tue Dec 05 15:12:51 GMT 2023","216","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
